name,type,description
Bulbizarre,Plante,"Bulbizarre est un petit quadrupède vert avec une tête large. Il porte un bulbe sur son dos. Ce dernier lui sert également d'organe de stockage, puisqu'on rapporte notamment qu'en période de sécheresse, il peut survivre plusieurs jours sans manger grâce à l'énergie qui y est accumulée. Il a des taches foncées sur le corps faisant penser à un batracien. Son bulbe grandit en permanence en absorbant les rayons du soleil, et lorsque le poids du bulbe sera trop grand et empêchera Bulbizarre de se dresser sur ses deux pattes arrière, cela signifiera que son évolution en Herbizarre est proche.
Bulbizarre utilise couramment la capacité Vampigraine qui est l'expulsion d'une graine parasitant l'ennemi par l'orifice de son bulbe ; et le Fouet Lianes qui est l'utilisation de tiges comme membres articulés pour frapper l'adversaire. Ces tiges sont d'ailleurs fréquemment utilisées pour manipuler des objets ou se porter lui-même en hauteur. Leur force est incroyable, il peut soulever des masses équivalentes à la sienne, voire plus grosses.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, le bulbe de Bulbizarre et les taches qui le parsèment sont vert foncé. Son corps est plus clair qu'à l'accoutumée, mais ses yeux restent rouges.
Bulbizarre évolue à partir du niveau 16 en Herbizarre, qui lui-même évolue à partir du niveau 32 en Florizarre. Depuis la sixième génération, celui-ci peut méga-évoluer en Méga-Florizarre s'il tient une Florizarrite.
Bulbizarre a été distribué de manière événementielle à plusieurs reprises :
Bulbizarre peut être un costume jouable en terminant le niveau officiel « Je te choisis ! » en choisissant la troisième porte : 
Mis à part les Bulbizarre vus sur affiche ou dans les rêves de Sacha parmi les trois choix possibles lors de l'épisode 1 (Le départ), ou les souvenirs de combat du Samouraï dans l'épisode Le défi du samouraï, d'autres Bulbizarre sont vus dans le dessin animé :
La première apparition d'un Bulbizarre dans les mangas Pokémon est dans l'Arc Rouge, Bleu et Vert au chapitre 2, à la page 22 du Tome 1. On le voit dans le laboratoire du Professeur Chen, dans la Poké Ball que Rouge prend. Dans ce même chapitre, de la page 26 à 33, ce même Bulbizarre s'enfuit et Rouge et le Professeur courent alors après celui-ci. Rouge arrive finalement à s'approcher de lui pour le calmer. Ils font ensuite équipe pour mettre K.O un Machopeur sauvage qui les attaquait. Après le combat le Professeur décide de donner le Bulbizarre à Rouge.
Bulbizarre fait ensuite une brève apparition au tout début du chapitre 3 page 36 au côté de Rouge et de son Têtarte.
Bulbizarre réapparaît dans le chapitre 4, de la page 52 à 54 pour aider son Dresseur dans la capture du Pikachu qui vole la nourriture des commerçants d'Argenta, puis aux la pages 59 et 61 pour encore une fois une très brève apparition.
Au chapitre 5, page 65, Bulbizarre est dans sa Poké Ball, puis page 67 il combat au côté de Têtarte contre des Dresseurs de l'Arène d'Argenta. Et pour la dernière fois dans ce chapitre Bulbizarre, à la page 68, sera dans sa Poké Ball, épuisé.
De la page 79 à 83 au chapitre 6 Bulbizarre combat cette fois-ci un Léviator accompagné du Stari d'Ondine.
Dans le chapitre 8, pages 109 et 110 il sauve Rouge qui est emporté par une tornade.
Pages 115 et 116, Bulbizarre réapparaît dans le combat contre le Stari d'Ondine où il va finalement tomber K.O.
Bulbizarre va plus tard essayer de stopper, avec Têtarte et Pikachu, le Rapasdepic qui s'est envolé, emportant avec lui le mystérieux Rattata qui se révèle être Léo, dans le chapitre 9 page 123. Puis aux pages 132 et 133, Bulbizarre apparaît toujours au côté de Rouge, Têtarte et Pikachu.
Bulbizarre aide Rouge à accéder à un bateau dans le chapitre suivant aux pages 143 et 144.
Dans le chapitre 12 Bulbizarre utilise sa capacité Tranch'herbe pour ouvrir la route à Rouge dans une forêt lors d'une course de vélo de la page 167 à 169. Rouge se servira finalement de Bulbizarre, qui a été recouvert de miel lorsqu'il utilisait son attaque dans la forêt, pour réveiller le Ronflex qui bloque le passage de la page 172 à 174.
On peut voir Bulbizarre courir sous la pluie au tout début du chapitre 13 avec son Dresseur, Pikachu et Tartard. Un peu plus loin, à la page 183, Bulbizarre combat des fantômes jusqu'à la page 188 où finalement Bleu fait son apparition.
Dans le chapitre suivant, Bulbizarre combat le Reptincel de Bleu de la page 189 à 191. Rouge se rend compte que c'est un Fantominus qui contrôle Bleu et les fantômes et demande à Bulbizarre de l'attaquer avant que celui-ci absorbe le gaz du Fantominus dans son bulbe.
Bulbizarre réapparaît une dernière fois dans le chapitre 15 à la page 209 et 210 avant d'évoluer en Herbizarre.
Bulbizarre a une figurine à son effigie dans le jeu de figurines à collectionner, dans l'extension Groundbreakers, jamais sortie en France. Sa figurine est la numéro 3. Pour plus d'informations, voir Bulbizarre (Groundbreakers 3).
Bulbizarre apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Bulbizarre apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Herbizarre,Plante,"Herbizarre est un Pokémon quadrupède, semblable à un dinosaure. Il a un corps bleu vert avec des taches plus foncées. Deux canines supérieures dépassent de sa bouche quand elle est fermée, et par rapport à sa pré-évolution, ses yeux sont plus petits et plus foncés. Il a sur le haut de sa tête deux oreilles pointues remplies de noir. Il a un petit museau rond et une large bouche. Chacun de ses pieds possède trois griffes pointues et blanches. Le bulbe sur son dos a fleuri et est devenu un gros bourgeon rose dont le poids est tel qu'il empêche Herbizarre de se tenir sur ses pattes postérieures trop longtemps. Une petite tige marron, entourée par quatre larges feuilles, soutient le bourgeon.
Quand le bourgeon est sur le point d'éclore, il dégage une délicate odeur fleurie et commence à se gonfler. Herbizarre commence donc à passer plus de temps au soleil pour préparer son évolution proche. L'exposition au soleil donne plus de force à la plante et à Herbizarre. Les Herbizarre vivent naturellement dans les plaines. Cependant, à présent, beaucoup vivent en captivité.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Herbizarre a le corps vert clair tandis que son bulbe et ses yeux sont jaunes.
Herbizarre est l'évolution de Bulbizarre depuis le niveau 16 et évolue à partir du niveau 32 en Florizarre. Depuis la sixième génération, celui-ci peut méga-évoluer en Méga-Florizarre s'il tient une Florizarrite.
Herbizarre est un personnage jouable du jeu. C'est l'un des trois Pokémon avec lesquels on peut combattre si l'on choisit le Dresseur de Pokémon.
Herbizarre est un personnage jouable du jeu. C'est l'un des trois Pokémon avec lesquels on peut combattre si l'on choisit le Dresseur de Pokémon.
  
Herbizarre a fait différentes apparitions dans le dessin animé, tout d'abord brièvement dans l'épisode 47 où il est l'un des Pokémon blessés, puis dans l'épisode 51 où tous les Bulbizarre réunis ont évolué en Herbizarre, mis à part celui de Sacha.
On verra ensuite un Herbizarre appartenant à la Dresseuse qui élimine Richie de la Ligue Indigo (épisode 80).
La Team Rocket en utilise un temporairement dans l'épisode 56. Un autre apparaît dans l'AG092 notamment.
Dans Cœur de rockeur, un Herbizarre apparaît dans un flash back.
Flori, le Bulbizarre de Rouge évolue en Herbizarre dans le chapitre 15 puis en Florizarre dans le chapitre 33.
Herbizarre apparaît pour la première fois dans l'extension イントロパック, jamais sortie en France.
Herbizarre apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Florizarre,Plante,"Florizarre est un imposant quadrupède à la peau verte ayant l'aspect d'un batracien, il est beaucoup plus grand et lourd que Bulbizarre et Herbizarre. Il porte une grande fleur rose tachetée sur son dos, entourée de quatre grandes feuilles. L'intérieur de ses oreilles s'est coloré de rouge et sa peau au niveau de ses pattes est désormais recouverte d'excroissances faisant penser aux verrues d'un crapaud. Sa bouche est ornée de six petites canines. Chacun de ses pas provoque un tremblement du sol. Sa fleur émet un parfum qui calme les esprits et appâte les Pokémon. Ce parfum est plus entêtant après une journée de pluie. La fleur permet aussi à Florizarre d'absorber les rayons du soleil pour se soigner ou être plus efficace en combat.
Florizarre possède plus de lianes que ses pré-évolutions, qui étaient limitées à deux. Avec elles, il peut soulever des adversaires très lourds. Lors d'une attaque Lance-Soleil, sa fleur sur son dos emmagasine l'énergie des rayons du soleil, mais il semblerait qu'il puisse relâcher sa puissance soit par l'orifice de sa plante, soit par sa bouche, selon la position angulaire de son adversaire.
Une petite graine jaune dépasse du sommet de la plante chez les Florizarre femelles.
Lorsqu'il est chromatique, le corps de Florizarre est vert clair, tandis que la fleur sur son dos ainsi que ses yeux sont dorés.
Florizarre est l'évolution d'Herbizarre au niveau 32 qui est lui-même l'évolution de Bulbizarre à partir du niveau 16.
Depuis la sixième génération, Florizarre peut méga-évoluer en Méga-Florizarre s'il tient une Florizarrite.
Depuis Pokémon Épée et Bouclier, certains Florizarre sont capables de prendre une forme Gigamax en combat, pendant trois tours.
Florizarre apparaît comme personnage jouable, où il est de type Attaquant.
Dans Super Smash Bros. Florizarre apparaît sur le terrain ""Safrania"". Il sort de la porte ""Sylphe SARL"" quand un combattant s'approche d'elle et utilise l'attaque Tranch'Herbe, où il projette des feuilles tranchantes sur les joueurs.

Dans Super Smash Bros. Melee, il peux sortir d'une Poké Ball et utilise l'attaque Séisme, où il inflige des dégâts aux autres joueurs.
Il apparaît aussi dans sur le terrain ""Poké-Flotte"".

Dans Super Smash Bros. Ultimate, Florizarre est un des esprits que le joueur peut obtenir.
Dans l'édition de Glénat, Florizarre est le titre du chapitre 78.
Rouge possède un Florizarre surnommé Flori.
Florizarre a une figurine à son effigie dans le jeu de figurines à collectionner, dans l'extension Groundbreakers, jamais sortie en France. Sa figurine est la numéro 34. Pour plus d'informations, voir Florizarre (Groundbreakers 34).
Florizarre apparaît pour la première fois dans l'extension Carte promotionnelle, jamais sortie en France.
Florizarre apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Salamèche,Feu,"Salamèche est un Pokémon bipède et reptilien avec un corps principalement orange, à l'exception de son ventre et de ses plantes de pieds qui sont beiges. Ses bras et ses jambes sont courts, avec respectivement quatre doigts et trois griffes chacune. Une flamme brûle au bout de la svelte queue de Salamèche, et elle flamboie depuis sa naissance. La flamme peut servir d'indication quant à la santé et à l'humeur de Salamèche : elle brûle fièrement quand le Pokémon est en pleine forme, doucement si le Pokémon est faible ou triste, ondoie quand il est heureux et flamboie quand il est en colère. Il est dit qu'un Salamèche meurt si sa flamme s'éteint.
Salamèche peut être trouvé dans les chaudes aires montagneuses. Cependant, il est trouvé encore plus fréquemment sous la propriété d'un Dresseur. Comme montré dans Pokémon Snap, Salamèche a un comportement de groupe, appelant les autres membres de sa bande quand il trouve à manger.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Salamèche a le corps jaune doré.
Salamèche évolue à partir du niveau 16 en Reptincel, puis il évolue en Dracaufeu à partir du niveau 36. Celui-ci peut ensuite méga-évoluer en Méga-Dracaufeu X ou en Méga-Dracaufeu Y.
Salamèche a été distribué de manière événementielle à plusieurs reprises :
Salamèche peut être un costume jouable en terminant le niveau officiel « Je te choisis ! » en choisissant la première porte : 
Un Salamèche apparait pour la première fois dans l'Arc Rouge, Bleu et Vert au chapitre 1, page 9. À la page 14, on peut voir le Salamèche de Bleu combattant Mew jusqu'à la page 16. Dans le chapitre 3 de la page 37 à 45, on retrouve le Salamèche de Bleu qui combat divers Pokémon : un Aéromite, le Têtarte de Rouge puis un Kangourex.
Salamèche a une figurine à son effigie dans le jeu de figurines à collectionner, dans la 3e extension. Sa figurine est la numéro 5. Pour plus d'informations, voir Salamèche (3e extension 5).
Salamèche apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Salamèche apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Reptincel,Feu,"Reptincel est tiré du dinosaure ; il possède trois grandes et puissantes griffes acérées à chaque main et pied, qui l'aident notamment à déchirer la peau de ses ennemis lors des combats. Sa peau est plus foncée que celle de sa pré-évolution et son museau s'est allongé. Son crâne est désormais doté d'une crête. Sa queue, longue et terminée par une flamme, lui sert notamment à élever sa température, le rendant plus puissant en combat, et à faire chuter ses adversaires avant de les achever.
Le Pokédex le dit extrêmement agressif, violent, voire cruel dans certains cas. Il cherche toujours des adversaires plus puissants et sa flamme devient bleue tandis que sa température augmente.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Reptincel a le corps jaune pastel, et les yeux vert émeraude.
Reptincel est l'évolution de Salamèche au niveau 16, et évolue lui-même en Dracaufeu à partir du niveau 36. Celui-ci peut ensuite méga-évoluer en Méga-Dracaufeu X ou en Méga-Dracaufeu Y.
La première apparition de Reptincel est dans l'épisode Un Pokémon tout n'œuf quand le Salamèche de Sacha évolue. Malheureusement, il va s'apercevoir dans l'épisode suivant La potion miracle que son Pokémon ne lui obéit plus.
Un autre Reptincel apparaît dans l'épisode 87 dans l'Archipel Orange, il appartient à Matéo.
Reptincel apparaît aussi dans le long-métrage Pokémon 4Ever - Celebi, la voix de la forêt.
Dans un épisode Chronicles, le Salamèche de Richie a évolué en Reptincel. On revoit ce Reptincel, appelé Zippo, dans l'EP221 et l'EP222.
On revoit un Reptincel dans L'arbitre et dans Les faussaires.
Le Reptincel de Sacha réapparaît dans Pokémon, le film : Je te choisis !.
Reptincel apparaît pour la première fois dans l'extension Set de Base, sortie le 18 novembre 1999 en France.
Reptincel apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Dracaufeu,Feu,"Dracaufeu est basé sur un dragon européen. Contrairement à ses pré-évolutions, il a deux ailes lui permettant de voler : l'intérieur des ailes est bleu alors que leur verso est orange. Son cou s'est développé, il est désormais plus long et deux crêtes ont poussé à l'arrière de son crâne. Ses membres supérieurs se sont atrophiés tandis que sa queue s'est allongée pour permettre à ce titan de garder une certaine stabilité au sol bien qu'il soit plus à l'aise dans les airs. Sa dentition, avec ses canines apparentes, révèle une préférence marquée pour la viande ; il possède trois griffes à chaque patte et a le ventre jaune pâle. Pokémon noble, il n'attaque pas les plus faibles que lui et cherche toujours des adversaires plus forts. Après un combat difficile ou s'il est en colère, sa flamme s'intensifie et devient blanc-bleu. Il crache des flammes pouvant faire fondre n'importe quoi et est souvent la cause d'incendies.
Dans les jeux vidéo, jusqu'à la cinquième génération incluse, son cri était le même que celui de Rhinocorne.
Dans Pokémon Soleil et Lune, Pokémon Ultra-Soleil et Ultra-Lune et Pokémon : Let's Go, Pikachu et Let's Go, Évoli, Dracaufeu peut être utilisé en tant que Poké Monture.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Dans la deuxième génération, lorsque Dracaufeu est chromatique, ses parties habituellement orange sont violettes, et ses parties habituellement bleues sont vertes.
Depuis la troisième génération, lorsqu'il est chromatique, le corps de Dracaufeu est noir, la membrane de ses ailes et ses yeux ont une teinte rouge foncé.
Dracaufeu est l'évolution de Reptincel à partir du niveau 36, lui-même l'évolution de Salamèche à partir du niveau 16.
Depuis la sixième génération, Dracaufeu peut méga-évoluer en Méga-Dracaufeu X s'il tient une Dracaufite X ou en Méga-Dracaufeu Y s'il tient une Dracaufite Y.
Depuis Pokémon Épée et Bouclier, certains Dracaufeu sont capables de prendre une forme Gigamax en combat, pendant trois tours.
Dracaufeu, Typhlosion et leurs familles d'évolution respectives ont exactement les mêmes statistiques de base, mis à part la catégorie « Spécial » qui n'apparaît que dans la première génération (Typhlosion est de la suivante).
Dracaufeu a été distribué de manière événementielle en diverses occasions :
Dracaufeu apparaît comme personnage jouable, où il est de type Polyvalent.
Dracaufeu est un Pokémon de soutien qui peut apparaître après avoir lancé une Poké Ball. Il utilise alors Lance-Flammes.
Dracaufeu est un personnage jouable du jeu. C'est l'un des trois Pokémon avec lesquels on peut combattre si l'on choisit le Dresseur de Pokémon.
Dracaufeu est une nouvelle fois un Pokémon jouable mais est cette fois un personnage à part entière.
Dracaufeu n'est de nouveau plus un combattant à part entière. C'est l'un des trois Pokémon avec lesquels on peut combattre si l'on choisit le Dresseur de Pokémon.
  
Dracaufeu a été dévoilé comme combattant dans Pokkén Tournament le 4 Juillet 2015, sur le site officiel japonais.
Grâce à son amiibo ou aléatoirement en terminant un Défi des 100 Mario, Dracaufeu peut être un costume jouable : 
Friede possède un Dracaufeu qui apparaît pour la première fois dans le LH001. Il lui sert de monture mais également lors des combats. Dracaufeu aide aussi Oria dans la salle des machines, lorsque la situation l'exige. Dans le LH014, il est révélé que Dracaufeu est de type Téracristal Ténèbres.
Dans l'édition de Glénat, Dracaufeu est le titre du chapitre 40.
Bleu possède un Dracaufeu en tant que Pokémon de départ.
Dracaufeu a une figurine à son effigie dans le jeu de figurines à collectionner, dans la première extension : le Premier Défi. Sa figurine est la numéro 1. Pour plus d'informations, voir Dracaufeu (Premier Défi 1).
Dracaufeu apparaît pour la première fois dans l'extension Carte promotionnelle, jamais sortie en France.
Dracaufeu apparaît également sur les cartes suivantes :
Depuis printemps 2015, un amiibo à l'effigie de Dracaufeu est disponible dans les amiibo de la gamme Super Smash Bros..

Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Carapuce,Eau,"Carapuce est une petite tortue bipède de couleur bleue. Il possède une carapace brune au pourtour blanc, beige au niveau du ventre. Ses yeux sont grands et violacés. Il a une queue enroulée sur elle-même formant une spirale. Il possède quatre pattes avec chacune trois doigts.
Sa carapace, molle à la naissance, durcit avec le temps et lui sert à se protéger pour lancer ensuite des jets d'eau ou d'écume, mais aussi à améliorer son hydrodynamisme.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Carapuce a un ventre jaune, sa carapace est verte et il est légèrement plus pâle.
Carapuce évolue à partir du niveau 16 en Carabaffe, puis il évolue en Tortank à partir du niveau 36. Celui-ci peut ensuite méga-évoluer en Méga-Tortank. (avec la Tortankite)
Carapuce n'a pour l'instant été distribué de manière événementielle qu'en deux occasions :
Carapuce est un personnage jouable du jeu. C'est l'un des trois Pokémon avec lesquels on peut combattre si l'on choisit le Dresseur de Pokémon.
Carapuce est un personnage jouable du jeu. C'est l'un des trois Pokémon avec lesquels on peut combattre si l'on choisit le Dresseur de Pokémon.
  
Carapuce peut être un costume jouable en terminant le niveau officiel « Je te choisis ! » en choisissant la deuxième porte : 
Sacha capture un Carapuce dans l'épisode 12, qui est le chef d'un gang de Carapuce. Son rival, Régis, a eu un Carapuce pour Pokémon de départ, ce que l'on apprend à la fin de la Ligue Johto lorsqu'il utilise son Tortank.
Un autre Carapuce apparaît dans l'épisode 15 où un Dresseur présente son Carapuce à deux garçons qui font se rencontrer leurs Salamèche.
Dans Pokémon : Le film, un clone du Carapuce de Sacha est créé par Mewtwo. Il réapparaît dans Le retour de Mewtwo.
Flora capture également un Carapuce, plus petit et timide. Il montre rapidement son habileté aux concours et aux combats.
Un Carapuce réapparaît dans l'épisode Les meilleurs amis du monde ! où on le voit scotché amoureusement à un Raichu.
Un Carapuce apparaît également en tant que Pokémon de Tierno dans la série XY.
Dans Pokémon Donjon Mystère : L'équipe RisqueTout, Carapuce joue le rôle de l'humain transformé en Pokémon et devient membre de l'équipe RisqueTout. Il accepte sa condition de Pokémon très rapidement.
Dans Pocket Monsters Special, Carapuce est un Pokémon de départ que Verte a volé au Professeur Chen. Cependant lors de sa première apparition dans le manga, le Pokémon a déjà évolué en Carabaffe.
Carapuce apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Carapuce apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Carabaffe,Eau,"Carabaffe est une tortue bipède de couleur bleu indigo, dont les oreilles et la queue sont recouvertes d'une fourrure duveteuse de couleur blanche ; celle-ci fait d'ailleurs penser à des vagues. Ses grands yeux sont marron. Trois griffes ornent chacune de ses pattes, et une épaisse carapace le protège des coups.
Carabaffe est fait pour le combat : des canines affleurent sur ses lèvres, sa queue peut administrer de puissantes volées de coups et ses pattes robustes lui permettent de résister aux chocs. Il semble pouvoir nager extrêmement vite, notamment à l'aide de ses oreilles et de sa queue.
Il serait inspiré d'un cryptide japonais : Minogame, avec lequel il partage les oreilles et la queue.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Carabaffe a les oreilles et la queue légèrement vertes, et sa carapace verte. Son ventre est légèrement plus orange. De plus, sa peau est violette.
Carabaffe est l'évolution de Carapuce à partir du niveau 16, et évolue lui-même en Tortank à partir du niveau 36. Celui-ci peut ensuite méga-évoluer en Méga-Tortank.
Dans l'édition de Glénat, Carabaffe est le titre du chapitre 15.
Carabaffe a une figurine à son effigie dans le jeu de figurines à collectionner, dans l'extension Groundbreakers, jamais sortie en France. Sa figurine est la numéro 35. Pour plus d'informations, voir Carabaffe (Groundbreakers 35).
Carabaffe apparaît pour la première fois dans l'extension イントロパック, jamais sortie en France.
Carabaffe apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Tortank,Eau,"Tortank est un bipède massif de la famille des tortues. Les extrémités supérieures gauche et droite de sa carapace sont ornées d'un canon à eau pouvant être orienté dans diverses directions. Formé au combat, sa tête s'est endurcie : le duvet de Carabaffe n'est plus présent et il possède désormais deux petites oreilles et une queue courte. Ses griffes se sont maintenant développées sur tous ses doigts et ses yeux n'ont pas changé de couleur.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, la carapace de Tortank a une couleur kaki, et sa peau est violette.
Tortank est l'évolution de Carabaffe à partir du niveau 36, lui-même l'évolution de Carapuce à partir du niveau 16.
Depuis la sixième génération, Tortank peut méga-évoluer en Méga-Tortank s'il tient une Tortankite.
Depuis Pokémon Épée et Bouclier, certains Tortank sont capables de prendre une forme Gigamax en combat, pendant trois tours.
Tortank a été distribué de manière événementielle en deux occasions à l'heure actuelle :
Tortank apparaît comme personnage jouable, où il est de type Défenseur.
Tortank est un combattant jouable, disponible à l'achat du DLC ""Pokkén Tournament DX Battle Pack"" à 14,99€.
Blue en possède un. Il s'agit de l'évolution finale de son Carapuce de départ.
Tortank a une figurine à son effigie dans le jeu de figurines à collectionner, dans l'extension Groundbreakers, jamais sortie en France. Sa figurine est la numéro 2. Pour plus d'informations, voir Tortank (Groundbreakers 2).
Tortank apparaît pour la première fois dans l'extension Carte promotionnelle, jamais sortie en France.
Tortank apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Chenipan,Insecte,"Chenipan est un Pokémon serpentin ressemblant aux larves de Papilio xuthus. Il a le corps d'une chenille verte avec des marques jaunes en forme d'anneaux sur les flancs. Il possède également de grands yeux jaunes aux pupilles noires. Sa caractéristique la plus notable est l'antenne rouge vif sur sa tête en forme de « Y », certainement un osmeterium, qui libère une odeur repoussant les prédateurs. Ses marques en formes d'yeux servent également à effrayer ses ennemis. Ses pattes se terminent par des ventouses, permettant à ce Pokémon d'escalader la plupart des surfaces avec un minimum d'efforts.
Chenipan muera plusieurs fois avant de s'enfermer dans un cocon de soie épaisse. Il peut également cracher cette soie pour emprisonner ses ennemis, comme on le voit dans l'épisode 3 de la série (Capture du premier Pokémon). Son appétit vorace l'oblige à manger des feuilles plus grandes que lui : en effet, il se nourrit principalement de plantes. D'après Pocket Monsters Special, sa nourriture favorite est la fleur Vermilion. Chenipan vit dans les forêts.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Chenipan a un corps d'une couleur dorée au lieu de vert et son antenne est rouge foncé.
Chenipan évolue à partir du niveau 7 en Chrysacier, qui évolue à partir du niveau 10 en Papilusion. C'est l'un des Pokémon qui évolue le plus rapidement, avec Aspicot et Chenipotte.
Ce Pokémon n'apprend aucune capacité par reproduction.
Chenipan n'apprend aucune capacité via le donneur de capacités.
Chenipan apparaît dès la saison 1. Il est le premier Pokémon capturé par Sacha. Il évolue quelques épisodes plus tard en Chrysacier, puis en Papilusion et est relâché par son Dresseur.
Voir aussi Chenipan de Sacha pour l'article détaillé.
On peut apercevoir des Chenipan dans l'Arène d'Écorcia dans l'épisode 144. D'autres apparaissent durant le Concours de Capture d'insectes dans l'épisode 161.
Bucky en possède un dans l'épisode 191.
On peut en voir dans l'oasis d'Écrémeuh dans l'épisode 207.
Dans l'épisode 496, deux Chenipan sauvages sont sur un arbre à miel. Un autre apparaît dans l'épisode 497, là aussi sur un arbre à miel. À la fin de l'épisode 498, la Team Rocket se retrouve recouverte de miel et elle est poursuivie par de nombreux Pokémon sauvages, on peut y voir des Chenipan.
Dans le LV006, Goh capture un Chenipan.
Dans l'édition de Glénat, Chenipan est le titre du chapitre 53.
Chenipan apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Chenipan apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
